,date,size,edges,diameter,clustering,core_percent,anger,disgust,fear,joy,sadness,surprise,volume,daychange
0,2021-01-04,26,19,6,0.0,0.0,0.05140633555238095,0.0024814324776190476,0.2700138400952381,0.04449446595238095,0.13978232586190473,0.12183003009523811,29873800,-0.1900000000000004
1,2021-01-05,40,31,4,0.0,0.0,0.028781873006451613,0.002439746726774193,0.32312210196580654,0.060101871809677423,0.13301539686774194,0.23637307829032264,28148300,-0.010000000000000009
2,2021-01-06,51,37,4,0.0,0.0,0.03261109774285714,0.004709445297619047,0.10862623434523803,0.08152007124999999,0.11452828103809522,0.23768996464285708,67363300,-0.020000000000000018
3,2021-01-07,15,9,2,0.0,0.0,0.08637581767,0.00448527147,0.31576045036,0.1599485159,0.08109801140000002,0.1037864855,26150500,-0.03000000000000025
4,2021-01-08,15,8,2,0.0,0.0,0.050709914241666675,0.0014632052633333332,0.25571416272499997,0.11591611222499999,0.27010743200000004,0.11312113000000001,39553300,0.050000000000000266
5,2021-01-11,44,39,5,0.007593795093795094,0.0,0.050201097230952375,0.0034101695304761914,0.1441277613452381,0.10683989143571432,0.046858183504761904,0.16159691116666666,41695800,0.040000000000000036
6,2021-01-12,54,47,5,0.013173949548302687,0.0425531914893617,0.02522998344444444,0.002449931686296297,0.1593923123796295,0.08899817480555555,0.10094609292592592,0.16240217310925928,41549200,0.04999999999999982
7,2021-01-13,25,22,6,0.0,0.0,0.13960121148181823,0.004983569876363636,0.32693248636363637,0.08564310113636363,0.08733082268181819,0.1312665795909091,45847700,-0.1499999999999999
8,2021-01-14,45,37,2,0.0,0.0,0.018260543315789475,0.000662729437105263,0.7684572822789476,0.04700177673421052,0.028468226323684204,0.06882257993684211,49638800,-0.040000000000000036
9,2021-01-15,358,437,8,0.0063418585468864265,0.4919908466819222,0.06139101634305018,0.002624699207876446,0.15181669335179554,0.09712939071737449,0.09605603356737444,0.17307781097316588,162356400,0.1299999999999999
10,2021-01-19,968,1132,12,0.0022261479425023413,0.3542402826855124,0.051968779474597056,0.008585808737782023,0.08114419080225668,0.10148737069362988,0.05310233685019199,0.19643865828672266,256276000,0.26000000000000023
11,2021-01-20,585,621,9,0.0012712830268656729,0.2753623188405797,0.05024845339257212,0.005416459277331511,0.08826886971752416,0.10645518159215983,0.04591661031072905,0.1921036695825312,181862200,-0.31999999999999984
12,2021-01-21,495,563,12,0.0061830526071624215,0.5310834813499112,0.033435615798782334,0.0028172044323439907,0.08659796613146077,0.08527882638508373,0.03071023412496168,0.16626244202237436,64823800,-0.020000000000000018
13,2021-01-22,888,980,10,0.002100123899367847,0.3826530612244898,0.05207458873434977,0.004875588723784748,0.09887075829443114,0.09548562125094176,0.057362469673721994,0.2097545884281608,268273400,0.5999999999999996
14,2021-01-25,2805,3214,16,0.0005117955542989516,0.17081518357187306,0.08184952937469729,0.005336092068462818,0.07000631936376567,0.17054886026563681,0.04779048501409054,0.20257069086254625,443238100,-0.29000000000000004
15,2021-01-26,4166,5170,13,0.0022232174266982926,0.3781431334622824,0.07007484337994804,0.00781142379189599,0.06239168799073821,0.12238188458904695,0.06450730674353096,0.19952945141157236,456850200,-0.1299999999999999
16,2021-01-27,41775,56410,15,0.0002996232676691283,0.17557170714412337,0.12158584927702103,0.012952669657301985,0.1310242999927846,0.10179747454786386,0.0665602508016511,0.1781161699552087,1222342500,-0.4400000000000013
17,2021-01-28,168618,244949,16,0.00021262102410734022,0.00013472192170615107,0.2105469912912435,0.019786116138823157,0.19443837880315887,0.058829629954699994,0.13584210628447224,0.12163350912836894,591223900,-3.3499999999999996
18,2021-01-29,74582,98292,14,0.00015169448434991823,0.35952061205388025,0.24659526102584306,0.016373092332548387,0.13938728676049325,0.09035375977739951,0.08177733419697242,0.1140578956471409,602193300,-1.0500000000000007
19,2021-02-01,21365,27866,15,0.0001282349633360702,0.24955142467523148,0.15566902848126915,0.005957541594574076,0.2061030489692159,0.12909814836990416,0.06702625837644319,0.13903158309947033,434608000,-3.6999999999999993
20,2021-02-02,18561,23157,15,7.942625606114675e-05,0.35319773718530034,0.14539051159763736,0.011038066116157798,0.18454891176101135,0.08000320365224396,0.08714574128157311,0.12987018190873104,462775900,-1.6600000000000001
