Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,2.200000,2.200000,2.000000,2.010000,2.010000,29873800
2021-01-05,1.990000,2.030000,1.910000,1.980000,1.980000,28148300
2021-01-06,2.030000,2.230000,1.970000,2.010000,2.010000,67363300
2021-01-07,2.080000,2.110000,2.020000,2.050000,2.050000,26150500
2021-01-08,2.090000,2.210000,2.070000,2.140000,2.140000,39553300
2021-01-11,2.160000,2.270000,2.150000,2.200000,2.200000,41695800
2021-01-12,2.240000,2.390000,2.240000,2.290000,2.290000,41549200
2021-01-13,2.330000,2.380000,2.130000,2.180000,2.180000,45847700
2021-01-14,2.220000,2.320000,2.130000,2.180000,2.180000,49638800
2021-01-15,2.200000,2.550000,2.180000,2.330000,2.330000,162356400
2021-01-19,2.800000,3.200000,2.570000,3.060000,3.060000,256276000
2021-01-20,3.290000,3.340000,2.750000,2.970000,2.970000,181862200
2021-01-21,3.000000,3.060000,2.850000,2.980000,2.980000,64823800
2021-01-22,2.910000,3.740000,2.810000,3.510000,3.510000,268273400
2021-01-25,4.710000,4.880000,3.850000,4.420000,4.420000,443238100
2021-01-26,5.090000,5.190000,4.370000,4.960000,4.960000,456850200
2021-01-27,20.340000,20.360001,11.010000,19.900000,19.900000,1222342500
2021-01-28,11.980000,16.500000,6.510000,8.630000,8.630000,591223900
2021-01-29,14.310000,16.000000,11.600000,13.260000,13.260000,602193300
2021-02-01,17.000000,17.250000,12.910000,13.300000,13.300000,434608000
2021-02-02,9.480000,10.100000,6.000000,7.820000,7.820000,462775900
2021-02-03,8.850000,9.770000,7.890000,8.970000,8.970000,221405100
2021-02-04,8.700000,8.740000,7.000000,7.090000,7.090000,162985800
2021-02-05,7.170000,8.270000,6.520000,6.830000,6.830000,197097600
2021-02-08,6.880000,6.890000,5.750000,6.180000,6.180000,128171500
2021-02-09,5.810000,5.810000,5.260000,5.500000,5.500000,102588100
2021-02-10,5.710000,6.590000,5.450000,5.800000,5.800000,152810800
2021-02-11,5.620000,5.850000,5.470000,5.610000,5.610000,55920400
2021-02-12,5.720000,5.970000,5.520000,5.590000,5.590000,46773000
2021-02-16,6.030000,6.050000,5.490000,5.650000,5.650000,61165700
2021-02-17,5.580000,5.620000,5.320000,5.550000,5.550000,38849000
2021-02-18,5.840000,6.250000,5.460000,5.510000,5.510000,130540800
2021-02-19,5.540000,5.770000,5.510000,5.700000,5.700000,40249100
2021-02-22,5.930000,6.680000,5.750000,6.550000,6.550000,173409000
2021-02-23,6.970000,7.860000,6.010000,7.700000,7.700000,264876400
2021-02-24,7.230000,9.830000,6.990000,9.090000,9.090000,376881800
2021-02-25,10.890000,11.000000,7.850000,8.290000,8.290000,445717400
2021-02-26,8.190000,9.010000,7.630000,8.010000,8.010000,137028000
2021-03-01,8.860000,9.450000,8.420000,9.180000,9.180000,143586500
2021-03-02,9.140000,9.400000,8.510000,8.930000,8.930000,78135400
2021-03-03,8.950000,9.140000,8.500000,8.580000,8.580000,55651900
2021-03-04,8.250000,8.590000,7.500000,8.030000,8.030000,77822600
2021-03-05,8.080000,8.270000,7.630000,8.050000,8.050000,59734100
